orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 29,0.1056977251920792,2.237153948428751,5.701420231929643,71.9023030099922,1.836707199005844,97.74443681234429,0.2945508413819349,2458268.6576723605,1.01535,2.7401299999999997,MBA,Otto Matic,32377.0,2745,0.41111000000000003,8.347,0.37,0.297,1930,9,2019,5
JPL 24,0.2578993447929743,2.366576092066668,23.89428454012673,1.323547616893654,131.5482010455284,100.011925939148,0.2707218846076545,2458231.073176291,0.8286100000000001,2.17542,MBA,Otto Matic,32271.0,1182,0.46003,7.377,0.22,0.193,1931,3,2019,7
JPL 27,0.2009936592486829,2.257363722247023,7.192302701584383,281.2548751893658,328.33656826688303,324.741650115753,0.2906041165313511,2458721.8277716264,0.7935300000000001,2.35378,MBA,Otto Matic,32129.0,1910,0.43283999999999995,6.258,0.237,0.604,1931,5,2019,5
JPL 26,0.2722712030129346,2.537689621567792,8.851160478710515,23.07195005604049,349.19449777709815,250.36351321303601,0.2438070830812848,2459050.1854045475,0.8474940000000001,2.23125,MBA,Otto Matic,32095.0,1284,0.53081,5.474,0.214,0.28300000000000003,1931,10,2019,8
JPL 37,0.1098630553069307,2.262547086089954,3.15727220705584,63.8177964359921,69.13505253401651,230.670161034962,0.2896060529985955,2459047.071601753,1.03132,2.51684,MBA,Otto Matic,32080.0,2315,0.45537,5.554,0.332,0.084,1932,1,2019,11
JPL 33,0.1244453023741432,2.212896839619616,4.411108154346636,42.52517248753182,24.065556113543487,250.4354035551641,0.299407256008485,2458966.4383473382,0.9517059999999999,2.77293,MBA,Otto Matic,42071.0,2606,0.43686,9.86,0.34600000000000003,0.337,1904,9,2019,11
JPL 26,0.07481762951511194,2.233344254723487,3.07344134699879,12.37762529239944,100.4327248174807,327.80745099456465,0.2953048408348357,2458709.5146335373,1.0856299999999999,2.65159,MBA,Otto Matic,33253.0,2585,0.43138999999999994,9.194,0.302,0.091,1928,10,2019,11
JPL 20,0.1796669017096312,2.572347529999362,10.513860697268367,200.5475774356613,185.16680129275719,72.21856380612672,0.2388964027654854,2458298.1992413024,1.1135899999999999,2.41478,MBA,Otto Matic,31992.0,1769,0.47523999999999994,6.194,0.318,0.344,1931,10,2019,5
JPL 74,0.2083681387232127,2.2347323864600734,5.986017102732084,97.79651234947713,258.9100814344047,240.50580063672768,0.2950297351709193,2459005.5242572804,0.775713,2.75495,MBA,Otto Matic,32384.0,2393,0.46803,8.203,0.28800000000000003,0.152,1930,12,2019,8
JPL 27,0.1506364455271555,2.7843866222811813,8.415392943633375,321.41539215750214,3.6812308574715824,342.6215052795203,0.21213374846426397,2458682.4223477934,1.3521,2.12268,MBA,Otto Matic,37317.0,1982,0.49162,6.965,0.252,0.16899999999999998,1917,9,2019,11
JPL 25,0.1617710600980067,2.3935704375820333,5.403958933486796,296.4909765724205,49.07489396222492,138.7251731061623,0.2661550772865666,2458079.28066231,1.00262,2.6237,MBA,Otto Matic,31688.0,2277,0.43986000000000003,6.278,0.34,0.287,1932,8,2019,5
JPL 25,0.1127571269474612,2.2295497286310364,4.396453667425794,327.07925005982554,244.71755862701957,210.803578345107,0.2960590414770762,2459104.441446647,0.9775659999999999,2.5,MBA,Otto Matic,36977.0,2725,0.4153600000000001,9.611,0.461,0.121,1918,9,2019,11
JPL 28,0.2109157897796925,2.3698895520091368,5.723303374091375,335.4122304656154,297.70980721680087,184.95100333460067,0.2701543185988241,2459248.4592759167,0.8617090000000001,2.28079,MBA,Otto Matic,31577.0,2433,0.4562100000000001,6.804,0.321,0.12,1933,6,2019,11
JPL 30,0.2752762665089319,2.227816507999703,5.363812063731189,236.3828820726403,99.721549316593,282.49372503996415,0.2964046054593625,2458861.9880927363,0.61558,2.57945,MCA,Otto Matic,31440.0,2252,0.46045,7.8,0.4598,0.7,1933,9,2019,10
JPL 29,0.09722567228007473,2.250385472254305,3.950832694134964,233.86405195151696,207.10645669052792,31.1510685849793,0.2919568710789709,2458493.80249886,1.048,2.71218,MBA,Otto Matic,32348.0,2397,0.43173,9.419,0.251,0.051,1930,10,2019,5
JPL 29,0.044029685434030234,2.4270027870539495,2.832944667854808,245.14512836353734,241.66458303337743,325.3133831540606,0.2606745672981191,2458733.564829475,1.3372899999999999,2.48267,MBA,Otto Matic,33161.0,2434,0.43917,9.939,0.099,0.07200000000000001,1929,2,2019,11
JPL 30,0.1742669643452063,2.29609583745585,5.240848622415092,264.6309376563295,143.8636263597706,182.4507599792171,0.2832820502833703,2459227.2578190817,0.9088719999999999,2.6751,MBA,Otto Matic,31406.0,1981,0.47736999999999996,8.194,0.223,0.226,1933,8,2019,8
JPL 30,0.2344864930368241,2.4227751368042383,23.360392149832077,253.18457912518195,29.449152127292198,166.95119077592992,0.2613571656320896,2457961.7144118096,0.8611979999999999,2.17611,MBA,Otto Matic,31209.0,1792,0.4472,9.996,0.21100000000000002,0.203,1934,6,2019,11
